trade_date,code,close,low,high,volume,amount,vwap,ratio,matched_factor,matched_after,matched_before
1992-07-13,600654.SH,166.7,165.0,174.25,118600.0,1981000.0,16.703204,0.100199,0.1,1992-06-01,1992-12-01
1992-07-14,000017.SZ,23.45,23.3,23.85,94800.0,11165000.0,117.774262,5.022357,5.0,1992-04-01,1993-05-01
1992-07-14,600601.SH,165.0,164.0,171.0,178600.0,2972000.0,16.640538,0.100852,0.1,1991-07-01,1992-12-01
1992-07-14,600602.SH,1945.0,1930.5,2025.0,604900.0,11906000.0,19.682592,0.01012,0.01,1991-01-03,1992-12-01
1992-07-14,600603.SH,403.05,400.0,409.9,322500.0,12984000.0,40.260465,0.09989,0.1,1992-05-08,1992-12-01
1992-07-14,600604.SH,243.03,240.0,253.5,312000.0,7642000.0,24.49359,0.100784,0.1,1992-05-11,1992-12-01
1992-07-14,600605.SH,160.75,160.0,165.5,76500.0,1237000.0,16.169935,0.100591,0.1,1992-05-13,1992-12-01
1992-07-14,600606.SH,183.25,181.0,186.0,73800.0,1352000.0,18.319783,0.099972,0.1,1992-05-21,1992-12-01
1992-07-14,600608.SH,188.0,188.0,192.95,143800.0,2726000.0,18.956885,0.100834,0.1,1992-05-21,1992-12-01
1992-07-14,600651.SH,380.0,370.25,384.0,140300.0,5292000.0,37.719173,0.099261,0.1,1991-09-02,1992-12-01
1992-07-14,600653.SH,528.0,515.5,537.5,362200.0,18905000.0,52.19492,0.098854,0.1,1992-04-01,1992-12-01
